id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote
1321,Ethereum Classic,ETC,ethereum-classic,341,2016-07-24T00:00:00.000Z,"['mineable', 'pow', 'ethash', 'platform', 'smart-contracts', 'dcg-portfolio']",210700000.0,136794197.61707363,210700000.0,,18,,,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 38.490681987258455, 'volume_24h': 1073905060.9340713, 'volume_change_24h': -29.3853, 'percent_change_1h': 0.34037657, 'percent_change_24h': -0.42923064, 'percent_change_7d': 18.80051958, 'percent_change_30d': -10.4890059, 'percent_change_60d': 168.80945593, 'percent_change_90d': 117.69778029, 'market_cap': 5265301958.180969, 'market_cap_dominance': 0.5039, 'fully_diluted_market_cap': 8109986694.72, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
7083,Uniswap,UNI,uniswap,472,2020-09-17T00:00:00.000Z,"['decentralized-exchange', 'defi', 'dao', 'yield-farming', 'amm', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'paradigm-portfolio', 'arbitrum-ecosytem', 'injective-ecosystem']",1000000000.0,745894889.5147561,1000000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x1f9840a85d5af5bf1d1762f925bdaddc4201f984'}",19,,,0.86355697,2022-09-10T16:48:00.000Z,"{'USD': {'price': 6.539310055901818, 'volume_24h': 136859269.81972447, 'volume_change_24h': -3.4589, 'percent_change_1h': 0.51218266, 'percent_change_24h': -0.06573126, 'percent_change_7d': 3.59737927, 'percent_change_30d': -29.19965309, 'percent_change_60d': 12.67192158, 'percent_change_90d': 48.86057247, 'market_cap': 4877637951.64962, 'market_cap_dominance': 0.4668, 'fully_diluted_market_cap': 6539310055.9, 'tvl': 5648310551.50939, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
3957,UNUS SED LEO,LEO,unus-sed-leo,20,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,953954130.0,985239504.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3'}",20,,,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 4.97356027853182, 'volume_24h': 3488071.49884093, 'volume_change_24h': -11.2221, 'percent_change_1h': 0.09867549, 'percent_change_24h': -1.20534322, 'percent_change_7d': -5.24480323, 'percent_change_30d': 4.76670582, 'percent_change_60d': -7.24895121, 'percent_change_90d': -9.50793243, 'market_cap': 4744548368.509379, 'market_cap_dominance': 0.4544, 'fully_diluted_market_cap': 4900148061.93, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
2,Litecoin,LTC,litecoin,826,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,71139693.77579072,84000000.0,,21,,,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 64.19021413731414, 'volume_24h': 603807951.3822335, 'volume_change_24h': 3.3766, 'percent_change_1h': 0.29221747, 'percent_change_24h': 5.79384313, 'percent_change_7d': 5.29954324, 'percent_change_30d': 2.87927857, 'percent_change_60d': 31.42842316, 'percent_change_90d': 25.40710438, 'market_cap': 4566472177.13096, 'market_cap_dominance': 0.4374, 'fully_diluted_market_cap': 5391977987.53, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
3794,Cosmos,ATOM,cosmos,340,2019-03-14T00:00:00.000Z,"['platform', 'cosmos-ecosystem', 'content-creation', 'interoperability', 'polychain-capital-portfolio', 'dragonfly-capital-portfolio', 'hashkey-capital-portfolio', '1confirmation-portfolio', 'paradigm-portfolio', 'exnetwork-capital-portfolio', 'injective-ecosystem']",,286370297.0,0.0,,22,,,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 15.773894446251377, 'volume_24h': 697998856.2025661, 'volume_change_24h': -99.944, 'percent_change_1h': -0.20903949, 'percent_change_24h': -1.1779477, 'percent_change_7d': 27.34535771, 'percent_change_30d': 32.28890586, 'percent_change_60d': 92.84562087, 'percent_change_90d': 108.13568949, 'market_cap': 4517174837.419658, 'market_cap_dominance': 0.432, 'fully_diluted_market_cap': 0, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
1975,Chainlink,LINK,chainlink,773,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem']",1000000000.0,491599970.4527867,1000000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x514910771af9ca656af840dff83e8264ecf986ca'}",23,,,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 7.894034467483852, 'volume_24h': 455180867.64237887, 'volume_change_24h': -26.8665, 'percent_change_1h': 2.02056209, 'percent_change_24h': 1.25961199, 'percent_change_7d': 15.55378343, 'percent_change_30d': -11.56756814, 'percent_change_60d': 27.47608378, 'percent_change_90d': 14.02101196, 'market_cap': 3880707110.9683414, 'market_cap_dominance': 0.3714, 'fully_diluted_market_cap': 7894034467.48, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
6535,NEAR Protocol,NEAR,near-protocol,182,2020-08-11T00:00:00.000Z,"['platform', 'staking', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'arrington-xrp-capital-portfolio', 'coinfund-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'kenetic-capital-portfolio', 'near-protocol-ecosystem', 'injective-ecosystem']",1000000000.0,780250294.0,1000000000.0,,24,,,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 4.7244634899008, 'volume_24h': 300477896.44609654, 'volume_change_24h': -16.5819, 'percent_change_1h': 0.78001633, 'percent_change_24h': -0.53343313, 'percent_change_7d': 13.05240993, 'percent_change_30d': -18.72018839, 'percent_change_60d': 42.6549814, 'percent_change_90d': 18.63651205, 'market_cap': 3686264026.9873652, 'market_cap_dominance': 0.3525, 'fully_diluted_market_cap': 4724463489.9, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
4195,FTX Token,FTT,ftx-token,140,2019-07-31T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'derivatives', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio']",352170015.0,134088740.45999673,329958076.5272245,"{'id': 1839, 'name': 'BNB', 'symbol': 'BNB', 'slug': 'bnb', 'token_address': 'FTT-F11'}",25,,,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 27.264883455209148, 'volume_24h': 68201537.65146044, 'volume_change_24h': -21.3053, 'percent_change_1h': 0.40554832, 'percent_change_24h': -0.88169567, 'percent_change_7d': 4.19928321, 'percent_change_30d': -12.6379844, 'percent_change_60d': 9.64482491, 'percent_change_90d': -5.90282921, 'market_cap': 3655913881.2975984, 'market_cap_dominance': 0.3501, 'fully_diluted_market_cap': 9601874415.39, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
3635,Cronos,CRO,cronos,159,2018-12-14T00:00:00.000Z,"['medium-of-exchange', 'cosmos-ecosystem', 'centralized-exchange', 'mobile', 'payments']",30263013692.0,25263013692.0,30263013692.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b'}",26,,,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 0.12169455413573722, 'volume_24h': 16286991.78648038, 'volume_change_24h': -34.4584, 'percent_change_1h': -0.31539215, 'percent_change_24h': 1.35655467, 'percent_change_7d': 2.12453078, 'percent_change_30d': -20.06442816, 'percent_change_60d': 7.11245169, 'percent_change_90d': -17.23603321, 'market_cap': 3074371187.372965, 'market_cap_dominance': 0.2942, 'fully_diluted_market_cap': 3682843958.05, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
512,Stellar,XLM,stellar,452,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange', 'smart-contracts', 'hashkey-capital-portfolio']",50001806812.0,25328347327.6122,50001787595.143166,,27,,,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 0.11462095257144106, 'volume_24h': 139756695.96074814, 'volume_change_24h': 0.7443, 'percent_change_1h': 1.01580133, 'percent_change_24h': 3.72238369, 'percent_change_7d': 9.78505013, 'percent_change_30d': -8.46663188, 'percent_change_60d': 11.54766418, 'percent_change_90d': -7.815241, 'market_cap': 2903159297.751224, 'market_cap_dominance': 0.2776, 'fully_diluted_market_cap': 5731254727.08, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
328,Monero,XMR,monero,187,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio']",,18172586.48310022,18172586.48310022,,28,,,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 158.47291580814166, 'volume_24h': 78791400.93003176, 'volume_change_24h': -21.3389, 'percent_change_1h': 0.41831348, 'percent_change_24h': 1.64998642, 'percent_change_7d': 2.82052858, 'percent_change_30d': -2.32428212, 'percent_change_60d': 23.67788987, 'percent_change_90d': -2.25205357, 'market_cap': 2879862767.7525144, 'market_cap_dominance': 0.2756, 'fully_diluted_market_cap': 2879862767.75, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
4172,Terra Classic,LUNC,terra-luna,338,2019-07-26T00:00:00.000Z,"['cosmos-ecosystem', 'store-of-value', 'defi', 'payments', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'solana-ecosystem', 'arrington-xrp-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'pantera-capital-portfolio', 'terra-ecosystem']",,6151072613161.0,6904017889662.0,,29,,,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 0.00046286024341085603, 'volume_24h': 2011897451.9347045, 'volume_change_24h': -32.2215, 'percent_change_1h': -0.62358335, 'percent_change_24h': 5.15138955, 'percent_change_7d': 79.75091577, 'percent_change_30d': 372.36393355, 'percent_change_60d': 369.87859002, 'percent_change_90d': 529.76163009, 'market_cap': 2847086966.965551, 'market_cap_dominance': 0.2725, 'fully_diluted_market_cap': 3195595400.92, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
1831,Bitcoin Cash,BCH,bitcoin-cash,635,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments']",21000000.0,19170018.75,19170018.75,,30,,,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 132.49823140659944, 'volume_24h': 304440001.4968073, 'volume_change_24h': -36.66, 'percent_change_1h': -0.55348264, 'percent_change_24h': -1.05232888, 'percent_change_7d': 12.17381734, 'percent_change_30d': -8.07758052, 'percent_change_60d': 31.87530992, 'percent_change_90d': -14.06878497, 'market_cap': 2539993580.40635, 'market_cap_dominance': 0.2433, 'fully_diluted_market_cap': 2782462859.54, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
4030,Algorand,ALGO,algorand,247,2019-06-20T00:00:00.000Z,"['pos', 'platform', 'research', 'smart-contracts', 'arrington-xrp-capital-portfolio', 'kenetic-capital-portfolio', 'usv-portfolio', 'multicoin-capital-portfolio', 'exnetwork-capital-portfolio']",10000000000.0,6910015852.169658,7328296210.219716,,31,,,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 0.32233693180684647, 'volume_24h': 92356944.09356296, 'volume_change_24h': -4.204, 'percent_change_1h': 0.3424953, 'percent_change_24h': 1.61886893, 'percent_change_7d': 6.79610089, 'percent_change_30d': -11.76669815, 'percent_change_60d': 6.06268732, 'percent_change_90d': -5.78660091, 'market_cap': 2227353308.525039, 'market_cap_dominance': 0.2132, 'fully_diluted_market_cap': 3223369318.07, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
4558,Flow,FLOW,flow,89,2021-01-27T00:00:00.000Z,"['collectibles-nfts', 'coinbase-ventures-portfolio', 'coinfund-portfolio', 'dcg-portfolio', 'ledgerprime-portfolio', 'a16z-portfolio', 'animoca-brands-portfolio']",,1036200000.0,1390757889.0,,32,,,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 2.0931397481905365, 'volume_24h': 105805327.61321503, 'volume_change_24h': -29.1979, 'percent_change_1h': 0.3854031, 'percent_change_24h': -1.61543804, 'percent_change_7d': 8.23413867, 'percent_change_30d': -30.97284492, 'percent_change_60d': 39.14325066, 'percent_change_90d': 8.63617161, 'market_cap': 2168911407.075034, 'market_cap_dominance': 0.2076, 'fully_diluted_market_cap': 2911050617.58, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
3077,VeChain,VET,vechain,197,2017-08-22T00:00:00.000Z,"['logistics', 'data-provenance', 'iot', 'smart-contracts', 'fenbushi-capital-portfolio']",86712634466.0,72511146418.0,85985041177.0,,33,72511146418.0,1860560279.2641106,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 0.02565895550097453, 'volume_24h': 70231009.20994602, 'volume_change_24h': -19.4513, 'percent_change_1h': 0.54010499, 'percent_change_24h': 1.69575679, 'percent_change_7d': 6.02006604, 'percent_change_30d': -22.16226518, 'percent_change_60d': 15.99277431, 'percent_change_90d': -5.59573419, 'market_cap': 1860560279.2641106, 'market_cap_dominance': 0.1782, 'fully_diluted_market_cap': 2224955629.14, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
8916,Internet Computer,ICP,internet-computer,131,2021-03-23T00:00:00.000Z,"['platform', 'distributed-computing', 'polychain-capital-portfolio', 'exnetwork-capital-portfolio']",,259750995.85801098,488508776.41603994,,34,259750995.85801098,1842328894.0196173,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 7.0926730730483865, 'volume_24h': 77035031.06111723, 'volume_change_24h': -5.4422, 'percent_change_1h': 0.87318299, 'percent_change_24h': 1.71536651, 'percent_change_7d': 8.84684297, 'percent_change_30d': -14.85758307, 'percent_change_60d': 8.490612, 'percent_change_90d': 14.04712717, 'market_cap': 1842328894.0196173, 'market_cap_dominance': 0.1763, 'fully_diluted_market_cap': 3464833044.43, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
1765,EOS,EOS,eos,483,2017-07-01T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'smart-contracts', 'fenbushi-capital-portfolio', 'galaxy-digital-portfolio']",,1000237505.3224,1061006819.1993,,35,,,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 1.7913204895668828, 'volume_24h': 757083733.1027063, 'volume_change_24h': 25.6889, 'percent_change_1h': -0.87317697, 'percent_change_24h': 8.61195371, 'percent_change_7d': 17.61920756, 'percent_change_30d': 36.24395045, 'percent_change_60d': 89.13534455, 'percent_change_90d': 63.46436602, 'market_cap': 1791745937.7172792, 'market_cap_dominance': 0.1715, 'fully_diluted_market_cap': 1900603254.8, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
2280,Filecoin,FIL,filecoin,241,2017-12-13T00:00:00.000Z,"['mineable', 'distributed-computing', 'filesharing', 'storage', 'polychain-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'dcg-portfolio', 'hashkey-capital-portfolio', 'a16z-portfolio', 'winklevoss-capital-portfolio', 'pantera-capital-portfolio', 'web3']",,279011690.0,279011690.0,,36,,,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 6.299208288911921, 'volume_24h': 274417392.1914342, 'volume_change_24h': -7.1489, 'percent_change_1h': 0.78841244, 'percent_change_24h': -0.82985764, 'percent_change_7d': -2.80923302, 'percent_change_30d': -26.28103369, 'percent_change_60d': 19.88602213, 'percent_change_90d': 4.36614226, 'market_cap': 1757552750.3513234, 'market_cap_dominance': 0.1682, 'fully_diluted_market_cap': 1757552750.35, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
18876,ApeCoin,APE,apecoin-ape,194,2022-03-17T12:26:36.000Z,"['collectibles-nfts', 'content-creation', 'gaming', 'entertainment', 'dao', 'governance', 'metaverse', 'animoca-brands-portfolio']",1000000000.0,306875000.0,1000000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x4d224452801aced8b2f0aebe155379bb5d594381'}",37,314218750.0,1579403837.5540786,,2022-09-10T16:48:00.000Z,"{'USD': {'price': 5.026446822648484, 'volume_24h': 205382999.52440512, 'volume_change_24h': -37.5903, 'percent_change_1h': 0.19588909, 'percent_change_24h': -1.5358732, 'percent_change_7d': 6.01952011, 'percent_change_30d': -27.66411658, 'percent_change_60d': 15.14406994, 'percent_change_90d': 15.93372903, 'market_cap': 1542490868.7002537, 'market_cap_dominance': 0.1476, 'fully_diluted_market_cap': 5026446822.65, 'tvl': None, 'last_updated': '2022-09-10T16:48:00.000Z'}}"
